family,algorithm_display,algorithm_superfamily,algorithm_category,dataset_count,mean_roc_auc,mean_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds
InternalBleeding,SAND | Baseline,Distance-based,Clustering,26,0.9337766451407284,0.4338621684042297,0.4374839654108306,0.9146528729587599,0.8330882532289748,4.127052111537733
InternalBleeding,Matrix Profile | Baseline,Distance-based,Discord,26,0.9473092752060246,0.4355830325607268,0.40022732109410136,0.8747450591686736,0.9811925541692145,0.08711815769381176
InternalBleeding,Local Outlier Factor | Baseline,Distance-based,Proximity,26,0.821053685814555,0.28348791037591947,0.26075614741942205,0.801513665394662,0.9849970442819536,0.14595505384652194
InternalBleeding,DAMP | Baseline,Distance-based,Discord,26,0.8403404012725744,0.2914031449336469,0.2553088132661823,0.917992233412228,0.5512476852395092,5.338244196151768
InternalBleeding,OCSVM | Baseline,Density-based,Distribution,26,0.7337974876976292,0.2469569842525243,0.23135450861472578,0.7570692281883357,0.670109894774815,0.10051638846030422
InternalBleeding,Isolation Forest | Baseline,Density-based,Tree,26,0.750175957417076,0.24402967603874212,0.2123222892096865,0.775806144472865,0.7207882246113659,0.4561124307734784
InternalBleeding,HBOS | Baseline,Density-based,Distribution,26,0.6098637524428934,0.05141697914491362,0.08139358610837101,0.7103413103732614,0.2172491962684039,0.47960316922958907
InternalBleeding,PCA | Baseline,Density-based,Encoding,26,0.5576573690771475,0.043476242960725796,0.06540310397922705,0.9778429542727636,0.18649178359150337,0.1363290076932082
WalkingAceleration,HBOS | Baseline,Density-based,Distribution,4,0.5394959990825436,0.3438649500788229,0.34386495007882295,0.9936486541765899,0.5,0.2972179749995121
WalkingAceleration,PCA | Baseline,Density-based,Encoding,4,0.5291975986728084,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.06652700000995537
WalkingAceleration,Matrix Profile | Baseline,Distance-based,Discord,4,0.8632088013117201,0.23429908756961726,0.19550824301099118,0.6567161330889976,0.8588709979054459,0.06504799999675015
WalkingAceleration,Isolation Forest | Baseline,Density-based,Tree,4,0.5265853373453842,0.328769591064673,0.1702597341599737,0.8057066162639464,0.8243566726511071,2.3209457249904517
WalkingAceleration,OCSVM | Baseline,Density-based,Distribution,4,0.8536643369403762,0.13437822922356593,0.1633104477079319,0.871694801089212,0.9898070351138764,0.09640467500867089
WalkingAceleration,SAND | Baseline,Distance-based,Clustering,4,0.7772782386414512,0.05223880597014925,0.11340206185567009,0.592359864352683,0.4474019488983814,13.12136527500843
WalkingAceleration,DAMP | Baseline,Distance-based,Discord,4,0.8990541932856031,0.0,0.0,,0.0,7.185842849998153
WalkingAceleration,Local Outlier Factor | Baseline,Distance-based,Proximity,4,0.33225010763888563,0.0,0.0,0.5852773757365406,0.8222731727250527,0.6637340750021394
