algorithm_display,dataset_name,evaluation_mode,roc_auc,average_precision,precision,recall,f1,evaluation_precision,evaluation_recall,evaluation_f1,range_f1,affiliation_precision,affiliation_recall,runtime_seconds
Matrix Profile | Subseq x1,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,range,0.9971377284125732,0.8221054778749578,0.7970297029702971,1.0,0.8870523415977961,0.7970297029702971,1.0,0.8870523415977962,0.8870523415977962,0.9948818481848184,1.0,0.0665729999891482
Matrix Profile | Subseq x1,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,range,0.9972866816353372,0.8322538872366816,0.7931034482758621,1.0,0.8846153846153846,0.7931034482758621,1.0,0.8846153846153846,0.8846153846153846,0.9947573070607556,1.0,0.0672084999969229
Matrix Profile | Baseline,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,range,0.9997711437725676,0.9751728624262336,0.7596899224806202,1.0,0.8634361233480177,0.7596899224806202,1.0,0.8634361233480177,0.8634361233480177,0.9974946754158102,1.0,0.1477080000040587
Matrix Profile | Baseline,156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085,range,0.9997448071432204,0.9728411016350864,0.7368421052631579,1.0,0.8484848484848485,0.7368421052631579,1.0,0.8484848484848484,0.8484848484848484,0.9972224101810906,1.0,0.1156025999807752
Matrix Profile | Baseline,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,range,0.9977371876221016,0.9171204653466956,0.7476190476190476,0.9181286549707602,0.8241469816272966,0.7476190476190476,0.9345029239766084,0.8306795795050079,0.8306795795050079,0.9923758147898404,0.9998454216007538,0.0694243000179994
Matrix Profile | Subseq x4,152_UCR_Anomaly_PowerDemand1_9000_18485_18821,range,0.9998616288609308,0.9891723162233867,0.6431297709923665,1.0,0.7828106852497096,0.6431297709923665,1.0,0.7828106852497096,0.7828106852497096,0.9948617188490272,1.0,2.1613136999949347
Matrix Profile | Baseline,140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,range,0.982913412164244,0.649789902738088,0.7687861271676301,0.7409470752089137,0.7546099290780142,0.7687861271676301,0.7927576601671309,0.7805878980602746,0.7805878980602746,0.9861353790228916,0.9967092033867544,0.0632490999996662
Matrix Profile | Baseline,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,range,0.9856987274332047,0.6978258687792311,0.7664670658682635,0.713091922005571,0.7388167388167388,0.7664670658682635,0.7704735376044569,0.7684650797337218,0.7684650797337218,0.9860601158017254,0.9959634569002286,0.0621630999958142
Matrix Profile | Subseq x1,134_UCR_Anomaly_InternalBleeding15_1700_5684_5854,range,0.9915303062501476,0.5198772774576736,0.6173285198555957,1.0,0.7633928571428571,0.6173285198555957,1.0,0.7633928571428572,0.7633928571428572,0.9882629921865684,1.0,0.0653663999983109
Matrix Profile | Subseq x4,094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600,range,0.9931774593096192,0.5194082620542554,0.6146788990825688,1.0,0.7613636363636364,0.6146788990825688,1.0,0.7613636363636362,0.7613636363636362,0.99059160411454,1.0,0.1169748999818693
Matrix Profile | Subseq x4,112_UCR_Anomaly_BIDMC1_2500_5400_5600,range,0.9933681900710356,0.5252237089482004,0.6128048780487805,1.0,0.7599243856332704,0.6128048780487805,1.0,0.7599243856332704,0.7599243856332704,0.990519955654102,1.0,0.0986665999807883
Matrix Profile | Subseq x4,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,range,0.993491658293402,0.5277687348476066,0.6109422492401215,1.0,0.7584905660377359,0.6109422492401215,1.0,0.7584905660377358,0.7584905660377358,0.9904675324675324,1.0,0.0973023000115063
